did,name,version,uploader,status,format,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures
927,hutsof99_child_witness,2,2,active,ARFF,25.0,2.0,17.0,2.0,16.0,42.0,0.0,0.0,15.0,1.0
969,iris,3,2,active,ARFF,100.0,2.0,50.0,2.0,5.0,150.0,0.0,0.0,4.0,1.0
973,wine,2,2,active,ARFF,107.0,2.0,71.0,2.0,14.0,178.0,0.0,0.0,13.0,1.0
974,hayes-roth,2,2,active,ARFF,81.0,2.0,51.0,2.0,5.0,132.0,0.0,0.0,4.0,1.0
994,vehicle,2,2,active,ARFF,628.0,2.0,218.0,2.0,19.0,846.0,0.0,0.0,18.0,1.0
996,prnn_fglass,2,2,active,ARFF,138.0,2.0,76.0,2.0,10.0,214.0,0.0,0.0,9.0,1.0
997,balance-scale,2,2,active,ARFF,337.0,2.0,288.0,2.0,5.0,625.0,0.0,0.0,4.0,1.0
1005,glass,2,2,active,ARFF,138.0,2.0,76.0,2.0,10.0,214.0,0.0,0.0,9.0,1.0
1011,ecoli,2,2,active,ARFF,193.0,2.0,143.0,2.0,8.0,336.0,0.0,0.0,7.0,1.0
1048,jEdit_4.2_4.3,1,2,active,ARFF,204.0,2.0,165.0,2.0,9.0,369.0,0.0,0.0,8.0,1.0
1049,pc4,1,2,active,ARFF,1280.0,2.0,178.0,2.0,38.0,1458.0,0.0,0.0,37.0,1.0
1050,pc3,1,2,active,ARFF,1403.0,2.0,160.0,2.0,38.0,1563.0,0.0,0.0,37.0,1.0
1054,mc2,1,2,active,ARFF,109.0,2.0,52.0,2.0,40.0,161.0,0.0,0.0,39.0,1.0
1061,ar4,1,2,active,ARFF,87.0,2.0,20.0,2.0,30.0,107.0,0.0,0.0,29.0,1.0
1063,kc2,1,2,active,ARFF,415.0,2.0,107.0,2.0,22.0,522.0,0.0,0.0,21.0,1.0
1064,ar6,1,2,active,ARFF,86.0,2.0,15.0,2.0,30.0,101.0,0.0,0.0,29.0,1.0
1065,kc3,1,2,active,ARFF,415.0,2.0,43.0,2.0,40.0,458.0,0.0,0.0,39.0,1.0
1068,pc1,1,2,active,ARFF,1032.0,2.0,77.0,2.0,22.0,1109.0,0.0,0.0,21.0,1.0
1071,mw1,1,2,active,ARFF,372.0,2.0,31.0,2.0,38.0,403.0,0.0,0.0,37.0,1.0
1073,jEdit_4.0_4.2,1,2,active,ARFF,140.0,2.0,134.0,2.0,9.0,274.0,0.0,0.0,8.0,1.0
1075,datatrieve,1,2,active,ARFF,119.0,2.0,11.0,2.0,9.0,130.0,0.0,0.0,8.0,1.0
1413,MyIris,1,379,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
1441,KungChi3,1,427,active,ARFF,107.0,2.0,16.0,2.0,40.0,123.0,0.0,0.0,39.0,1.0
1442,MegaWatt1,1,427,active,ARFF,226.0,2.0,27.0,2.0,38.0,253.0,0.0,0.0,37.0,1.0
1443,PizzaCutter1,1,427,active,ARFF,609.0,2.0,52.0,2.0,38.0,661.0,0.0,0.0,37.0,1.0
1444,PizzaCutter3,1,427,active,ARFF,916.0,2.0,127.0,2.0,38.0,1043.0,0.0,0.0,37.0,1.0
1446,CostaMadre1,2,427,active,ARFF,258.0,2.0,38.0,2.0,38.0,296.0,0.0,0.0,37.0,1.0
1447,CastMetal1,1,427,active,ARFF,285.0,2.0,42.0,2.0,38.0,327.0,0.0,0.0,37.0,1.0
1448,KnuggetChase3,1,427,active,ARFF,158.0,2.0,36.0,2.0,40.0,194.0,0.0,0.0,39.0,1.0
1449,MeanWhile1,1,427,active,ARFF,226.0,2.0,27.0,2.0,38.0,253.0,0.0,0.0,37.0,1.0
1450,MindCave2,1,427,active,ARFF,81.0,2.0,44.0,2.0,40.0,125.0,0.0,0.0,39.0,1.0
1451,PieChart1,1,427,active,ARFF,644.0,2.0,61.0,2.0,38.0,705.0,0.0,0.0,37.0,1.0
1452,PieChart2,1,427,active,ARFF,729.0,2.0,16.0,2.0,37.0,745.0,0.0,0.0,36.0,1.0
1453,PieChart3,1,427,active,ARFF,943.0,2.0,134.0,2.0,38.0,1077.0,0.0,0.0,37.0,1.0
1462,banknote-authentication,1,64,active,ARFF,762.0,2.0,610.0,2.0,5.0,1372.0,0.0,0.0,4.0,1.0
1464,blood-transfusion-service-center,1,64,active,ARFF,570.0,2.0,178.0,2.0,5.0,748.0,0.0,0.0,4.0,1.0
1465,breast-tissue,1,64,active,ARFF,22.0,6.0,14.0,6.0,10.0,106.0,0.0,0.0,9.0,1.0
1467,climate-model-simulation-crashes,1,64,active,ARFF,494.0,2.0,46.0,2.0,21.0,540.0,0.0,0.0,20.0,1.0
1473,fertility,1,64,active,ARFF,88.0,2.0,12.0,2.0,10.0,100.0,0.0,0.0,9.0,1.0
1488,parkinsons,1,64,active,ARFF,147.0,2.0,48.0,2.0,23.0,195.0,0.0,0.0,22.0,1.0
1490,planning-relax,1,64,active,ARFF,130.0,2.0,52.0,2.0,13.0,182.0,0.0,0.0,12.0,1.0
1491,one-hundred-plants-margin,1,64,active,ARFF,16.0,100.0,16.0,100.0,65.0,1600.0,0.0,0.0,64.0,1.0
1492,one-hundred-plants-shape,1,64,active,ARFF,16.0,100.0,16.0,100.0,65.0,1600.0,0.0,0.0,64.0,1.0
1493,one-hundred-plants-texture,1,64,active,ARFF,16.0,100.0,15.0,100.0,65.0,1599.0,0.0,0.0,64.0,1.0
1494,qsar-biodeg,1,64,active,ARFF,699.0,2.0,356.0,2.0,42.0,1055.0,0.0,0.0,41.0,1.0
1499,seeds,1,64,active,ARFF,70.0,3.0,70.0,3.0,8.0,210.0,0.0,0.0,7.0,1.0
1500,seismic-bumps,1,64,active,ARFF,70.0,3.0,70.0,3.0,8.0,210.0,0.0,0.0,7.0,1.0
1504,steel-plates-fault,1,64,active,ARFF,1268.0,2.0,673.0,2.0,34.0,1941.0,0.0,0.0,33.0,1.0
1508,user-knowledge,1,64,active,ARFF,129.0,5.0,24.0,5.0,6.0,403.0,0.0,0.0,5.0,1.0
1510,wdbc,1,64,active,ARFF,357.0,2.0,212.0,2.0,31.0,569.0,0.0,0.0,30.0,1.0
1523,vertebra-column,1,64,active,ARFF,150.0,3.0,60.0,3.0,7.0,310.0,0.0,0.0,6.0,1.0
1524,vertebra-column,2,64,active,ARFF,210.0,2.0,100.0,2.0,7.0,310.0,0.0,0.0,6.0,1.0
1547,autoUniv-au1-1000,1,64,active,ARFF,741.0,2.0,259.0,2.0,21.0,1000.0,0.0,0.0,20.0,1.0
1559,breast-tissue,2,64,active,ARFF,49.0,4.0,14.0,4.0,10.0,106.0,0.0,0.0,9.0,1.0
1565,heart-h,3,64,active,ARFF,188.0,5.0,15.0,5.0,14.0,294.0,0.0,0.0,13.0,1.0
1600,SPECTF,2,555,active,ARFF,212.0,2.0,55.0,2.0,45.0,267.0,0.0,0.0,44.0,1.0
40496,LED-display-domain-7digit,1,64,active,ARFF,57.0,10.0,37.0,10.0,8.0,500.0,0.0,0.0,7.0,1.0
40671,ecoli,3,869,active,ARFF,143.0,5.0,20.0,5.0,8.0,327.0,0.0,0.0,7.0,1.0
40682,thyroid-new,1,869,active,ARFF,150.0,3.0,30.0,3.0,6.0,215.0,0.0,0.0,5.0,1.0
40982,steel-plates-fault,3,4265,active,ARFF,673.0,7.0,55.0,7.0,28.0,1941.0,0.0,0.0,27.0,1.0
40994,climate-model-simulation-crashes,4,4265,active,ARFF,494.0,2.0,46.0,2.0,21.0,540.0,0.0,0.0,20.0,1.0
41511,iris,10,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
41568,iris,12,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
41583,iris,14,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
41707,FOREX_usddkk-day-High,1,1,active,arff,940.0,,892.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41713,FOREX_eurnzd-day-High,1,1,active,arff,955.0,,877.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41716,FOREX_eurcad-day-Close,1,1,active,arff,950.0,,884.0,2.0,12.0,1834.0,0.0,0.0,11.0,1.0
41719,FOREX_eurjpy-day-High,1,1,active,arff,935.0,,897.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41720,FOREX_eurusd-day-High,1,1,active,arff,957.0,,880.0,2.0,12.0,1837.0,0.0,0.0,11.0,1.0
41721,FOREX_audcad-day-High,1,1,active,arff,931.0,,903.0,2.0,12.0,1834.0,0.0,0.0,11.0,1.0
41722,FOREX_usdjpy-day-Close,1,1,active,arff,933.0,,902.0,2.0,12.0,1835.0,0.0,0.0,11.0,1.0
41724,FOREX_chfjpy-day-Close,1,1,active,arff,921.0,,911.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41725,FOREX_eurcad-day-High,1,1,active,arff,933.0,,901.0,2.0,12.0,1834.0,0.0,0.0,11.0,1.0
41726,FOREX_audusd-day-High,1,1,active,arff,958.0,,876.0,2.0,12.0,1834.0,0.0,0.0,11.0,1.0
41730,FOREX_usdchf-day-High,1,1,active,arff,919.0,,916.0,2.0,12.0,1835.0,0.0,0.0,11.0,1.0
41731,FOREX_eursek-day-High,1,1,active,arff,946.0,,891.0,2.0,12.0,1837.0,0.0,0.0,11.0,1.0
41733,FOREX_eurhkd-day-High,1,1,active,arff,960.0,,872.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41737,FOREX_audusd-day-Close,1,1,active,arff,922.0,,912.0,2.0,12.0,1834.0,0.0,0.0,11.0,1.0
41740,FOREX_audchf-day-Close,1,1,active,arff,925.0,,908.0,2.0,12.0,1833.0,0.0,0.0,11.0,1.0
41744,FOREX_eurrub-day-High,1,1,active,arff,944.0,,888.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41746,FOREX_cadchf-day-High,1,1,active,arff,945.0,,886.0,2.0,12.0,1831.0,0.0,0.0,11.0,1.0
41750,FOREX_eurhuf-day-Close,1,1,active,arff,929.0,,905.0,2.0,12.0,1834.0,0.0,0.0,11.0,1.0
41753,FOREX_usdcad-day-High,1,1,active,arff,921.0,,912.0,2.0,12.0,1833.0,0.0,0.0,11.0,1.0
41754,FOREX_eurjpy-day-Close,1,1,active,arff,936.0,,896.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41756,FOREX_audsgd-day-High,1,1,active,arff,930.0,,902.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41760,FOREX_eurhuf-day-High,1,1,active,arff,953.0,2.0,881.0,2.0,12.0,1834.0,0.0,0.0,11.0,1.0
41764,FOREX_gbpusd-day-High,1,1,active,arff,937.0,,897.0,2.0,12.0,1834.0,0.0,0.0,11.0,1.0
41765,FOREX_eurtry-day-Close,1,1,active,arff,935.0,,897.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41766,FOREX_eurgbp-day-High,1,1,active,arff,938.0,,897.0,2.0,12.0,1835.0,0.0,0.0,11.0,1.0
41769,FOREX_audcad-day-Close,1,1,active,arff,935.0,2.0,899.0,2.0,12.0,1834.0,0.0,0.0,11.0,1.0
41783,FOREX_eurdkk-day-Close,1,1,active,arff,956.0,,880.0,2.0,12.0,1836.0,0.0,0.0,11.0,1.0
41784,FOREX_gbpusd-day-Close,1,1,active,arff,932.0,2.0,902.0,2.0,12.0,1834.0,0.0,0.0,11.0,1.0
41785,FOREX_eurtry-day-High,1,1,active,arff,932.0,2.0,900.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41788,FOREX_audnzd-day-High,1,1,active,arff,1003.0,2.0,829.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41790,FOREX_cadjpy-day-Close,1,1,active,arff,923.0,2.0,911.0,2.0,12.0,1834.0,0.0,0.0,11.0,1.0
41791,FOREX_eurusd-day-Close,1,1,active,arff,926.0,2.0,911.0,2.0,12.0,1837.0,0.0,0.0,11.0,1.0
41797,FOREX_usdjpy-day-High,1,1,active,arff,921.0,2.0,914.0,2.0,12.0,1835.0,0.0,0.0,11.0,1.0
41801,FOREX_eursgd-day-High,1,1,active,arff,950.0,2.0,882.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41803,FOREX_eurchf-day-High,1,1,active,arff,978.0,2.0,855.0,2.0,12.0,1833.0,0.0,0.0,11.0,1.0
41811,FOREX_cadchf-day-Close,1,1,active,arff,949.0,2.0,882.0,2.0,12.0,1831.0,0.0,0.0,11.0,1.0
41812,FOREX_eurnok-day-Close,1,1,active,arff,921.0,2.0,916.0,2.0,12.0,1837.0,0.0,0.0,11.0,1.0
41815,FOREX_eurrub-day-Close,1,1,active,arff,918.0,2.0,914.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41818,FOREX_euraud-day-Close,1,1,active,arff,946.0,2.0,888.0,2.0,12.0,1834.0,0.0,0.0,11.0,1.0
41821,FOREX_eurpln-day-Close,1,1,active,arff,935.0,2.0,897.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41826,FOREX_eurnzd-day-Close,1,1,active,arff,955.0,2.0,877.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41829,FOREX_nzdusd-day-Close,1,1,active,arff,939.0,2.0,889.0,2.0,12.0,1828.0,0.0,0.0,11.0,1.0
41830,FOREX_nzdusd-day-High,1,1,active,arff,939.0,2.0,889.0,2.0,12.0,1828.0,0.0,0.0,11.0,1.0
41834,FOREX_usdcad-day-Close,1,1,active,arff,960.0,2.0,873.0,2.0,12.0,1833.0,0.0,0.0,11.0,1.0
41839,FOREX_cadjpy-day-High,1,1,active,arff,920.0,2.0,914.0,2.0,12.0,1834.0,0.0,0.0,11.0,1.0
41841,FOREX_chfsgd-day-Close,1,1,active,arff,933.0,2.0,899.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41844,FOREX_eurgbp-day-Close,1,1,active,arff,935.0,2.0,900.0,2.0,12.0,1835.0,0.0,0.0,11.0,1.0
41846,FOREX_eursek-day-Close,1,1,active,arff,925.0,2.0,912.0,2.0,12.0,1837.0,0.0,0.0,11.0,1.0
41847,FOREX_eurdkk-day-High,1,1,active,arff,939.0,2.0,897.0,2.0,12.0,1836.0,0.0,0.0,11.0,1.0
41848,FOREX_chfjpy-day-High,1,1,active,arff,936.0,2.0,896.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41849,FOREX_audsgd-day-Close,1,1,active,arff,923.0,2.0,909.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41857,FOREX_audjpy-day-Close,1,1,active,arff,957.0,2.0,875.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41858,FOREX_usdchf-day-Close,1,1,active,arff,951.0,2.0,884.0,2.0,12.0,1835.0,0.0,0.0,11.0,1.0
41863,FOREX_eurnok-day-High,1,1,active,arff,950.0,2.0,887.0,2.0,12.0,1837.0,0.0,0.0,11.0,1.0
41864,FOREX_chfsgd-day-High,1,1,active,arff,999.0,2.0,833.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41866,FOREX_euraud-day-High,1,1,active,arff,934.0,2.0,900.0,2.0,12.0,1834.0,0.0,0.0,11.0,1.0
41867,FOREX_audnzd-day-Close,1,1,active,arff,950.0,2.0,882.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41868,FOREX_eurpln-day-High,1,1,active,arff,969.0,2.0,863.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41872,FOREX_eurhkd-day-Close,1,1,active,arff,917.0,2.0,915.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41874,FOREX_eursgd-day-Close,1,1,active,arff,924.0,2.0,908.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41875,FOREX_audchf-day-High,1,1,active,arff,929.0,2.0,904.0,2.0,12.0,1833.0,0.0,0.0,11.0,1.0
41882,FOREX_audjpy-day-High,1,1,active,arff,941.0,2.0,891.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41894,FOREX_eurchf-day-Close,1,1,active,arff,952.0,2.0,881.0,2.0,12.0,1833.0,0.0,0.0,11.0,1.0
41897,FOREX_usddkk-day-Close,1,1,active,arff,916.0,2.0,916.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41919,CPMP-2015-runtime-classification,1,8316,active,ARFF,208.0,4.0,78.0,4.0,23.0,527.0,0.0,0.0,22.0,1.0
41945,ilpd-numeric,2,8684,active,ARFF,416.0,2.0,167.0,2.0,11.0,583.0,0.0,0.0,10.0,1.0
41950,iris_test_upload,1,4030,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
41997,iris,16,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42003,iris,18,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42011,iris,20,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42016,iris,22,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42021,iris,24,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42026,iris,26,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42031,iris,28,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42036,iris,30,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42041,iris,32,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42046,iris,34,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42051,iris,36,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42056,iris,38,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42066,iris,40,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42071,iris,42,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42098,iris,45,7214,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42186,JuanFeldmanIris,1,10443,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42261,iris-example,1,348,active,ARFF,50.0,,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42544,Touch2,1,12712,active,ARFF,47.0,,27.0,8.0,11.0,265.0,0.0,0.0,10.0,1.0
42700,iris,48,348,active,ARFF,50.0,,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
43859,iriiiiiis,2,28351,active,ARFF,50.0,,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
44151,Iris,51,30495,active,arff,50.0,,49.0,3.0,5.0,149.0,0.0,0.0,4.0,0.0
44153,vehicle_reproduced,1,30495,active,arff,218.0,,199.0,4.0,19.0,846.0,0.0,0.0,18.0,1.0
44154,iris_reproduced,1,30495,active,arff,50.0,,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
44344,Iris,52,30495,active,arff,50.0,,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
44503,steel-plates-fault_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,673.0,,55.0,7.0,28.0,1941.0,0.0,0.0,27.0,1.0
44504,steel-plates-fault_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,673.0,,55.0,7.0,28.0,1941.0,0.0,0.0,27.0,1.0
44505,steel-plates-fault_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,673.0,,55.0,7.0,28.0,1941.0,0.0,0.0,27.0,1.0
44506,steel-plates-fault_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,673.0,,55.0,7.0,28.0,1941.0,0.0,0.0,27.0,1.0
44507,steel-plates-fault_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,673.0,,55.0,7.0,28.0,1941.0,0.0,0.0,27.0,1.0
44553,vehicle_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,218.0,,199.0,4.0,19.0,846.0,0.0,0.0,18.0,1.0
44554,vehicle_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,218.0,,199.0,4.0,19.0,846.0,0.0,0.0,18.0,1.0
44555,vehicle_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,218.0,,199.0,4.0,19.0,846.0,0.0,0.0,18.0,1.0
44556,vehicle_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,218.0,,199.0,4.0,19.0,846.0,0.0,0.0,18.0,1.0
