did,name,version,uploader,status,format,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures
53,heart-statlog,1,1,active,ARFF,150.0,2.0,120.0,2.0,14.0,270.0,0.0,0.0,13.0,1.0
54,vehicle,1,1,active,ARFF,218.0,4.0,199.0,4.0,19.0,846.0,0.0,0.0,18.0,1.0
55,hepatitis,1,1,active,ARFF,123.0,2.0,32.0,2.0,20.0,155.0,75.0,167.0,6.0,14.0
56,vote,1,1,active,ARFF,267.0,2.0,168.0,2.0,17.0,435.0,203.0,392.0,0.0,17.0
59,ionosphere,1,1,active,ARFF,225.0,2.0,126.0,2.0,35.0,351.0,0.0,0.0,34.0,1.0
61,iris,1,1,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
164,molecular-biology_promoters,1,1,active,ARFF,53.0,4.0,53.0,2.0,58.0,106.0,0.0,0.0,0.0,58.0
185,baseball,1,1,active,ARFF,1215.0,7.0,57.0,3.0,17.0,1340.0,20.0,20.0,15.0,2.0
187,wine,1,1,active,ARFF,71.0,3.0,48.0,3.0,14.0,178.0,0.0,0.0,13.0,1.0
188,eucalyptus,1,1,active,ARFF,214.0,27.0,105.0,5.0,20.0,736.0,95.0,448.0,14.0,6.0
307,vowel,2,2,active,ARFF,90.0,15.0,90.0,11.0,13.0,990.0,0.0,0.0,10.0,3.0
311,oil_spill,1,94,active,ARFF,896.0,2.0,41.0,2.0,50.0,937.0,0.0,0.0,49.0,1.0
329,hayes-roth,1,2,active,ARFF,65.0,3.0,31.0,3.0,5.0,160.0,0.0,0.0,4.0,1.0
333,monks-problems-1,1,2,active,ARFF,278.0,4.0,278.0,2.0,7.0,556.0,0.0,0.0,0.0,7.0
334,monks-problems-2,1,2,active,ARFF,395.0,4.0,206.0,2.0,7.0,601.0,0.0,0.0,0.0,7.0
335,monks-problems-3,1,2,active,ARFF,288.0,4.0,266.0,2.0,7.0,554.0,0.0,0.0,0.0,7.0
336,SPECT,1,2,active,ARFF,212.0,2.0,55.0,2.0,23.0,267.0,0.0,0.0,0.0,23.0
337,SPECTF,1,2,active,ARFF,254.0,2.0,95.0,2.0,45.0,349.0,0.0,0.0,44.0,1.0
338,grub-damage,1,2,active,ARFF,49.0,21.0,19.0,4.0,9.0,155.0,0.0,0.0,2.0,7.0
339,pasture,1,2,active,ARFF,12.0,4.0,12.0,3.0,23.0,36.0,0.0,0.0,21.0,2.0
346,aids,1,2,active,ARFF,25.0,5.0,25.0,2.0,5.0,50.0,0.0,0.0,2.0,3.0
446,prnn_crabs,1,2,active,ARFF,100.0,2.0,100.0,2.0,8.0,200.0,0.0,0.0,6.0,2.0
450,analcatdata_lawsuit,1,2,active,ARFF,245.0,2.0,19.0,2.0,5.0,264.0,0.0,0.0,3.0,2.0
451,irish,1,2,active,ARFF,278.0,10.0,222.0,2.0,6.0,500.0,32.0,32.0,2.0,4.0
452,analcatdata_broadwaymult,1,2,active,ARFF,118.0,95.0,21.0,7.0,8.0,285.0,18.0,27.0,3.0,5.0
454,analcatdata_halloffame,1,2,active,ARFF,1215.0,7.0,57.0,3.0,17.0,1340.0,20.0,20.0,15.0,2.0
455,cars,1,2,active,ARFF,254.0,5.0,73.0,3.0,8.0,406.0,14.0,14.0,6.0,2.0
458,analcatdata_authorship,1,2,active,ARFF,317.0,4.0,55.0,4.0,71.0,841.0,0.0,0.0,70.0,1.0
460,analcatdata_reviewer,1,2,active,ARFF,141.0,3.0,54.0,4.0,8.0,379.0,365.0,1418.0,0.0,8.0
461,analcatdata_creditscore,1,2,active,ARFF,73.0,6.0,27.0,2.0,7.0,100.0,0.0,0.0,3.0,4.0
463,backache,1,2,active,ARFF,155.0,10.0,25.0,2.0,32.0,180.0,0.0,0.0,5.0,27.0
465,analcatdata_cyyoung8092,1,2,active,ARFF,73.0,62.0,24.0,2.0,11.0,97.0,0.0,0.0,7.0,4.0
466,schizo,1,2,active,ARFF,177.0,3.0,163.0,2.0,15.0,340.0,228.0,834.0,12.0,3.0
467,analcatdata_japansolvent,1,2,active,ARFF,27.0,2.0,25.0,2.0,9.0,52.0,0.0,0.0,8.0,1.0
469,analcatdata_dmft,1,2,active,ARFF,155.0,9.0,123.0,6.0,5.0,797.0,0.0,0.0,0.0,5.0
470,profb,1,2,active,ARFF,448.0,28.0,224.0,2.0,10.0,672.0,666.0,1200.0,5.0,5.0
475,analcatdata_germangss,1,2,active,ARFF,100.0,5.0,100.0,4.0,6.0,400.0,0.0,0.0,1.0,5.0
476,analcatdata_bankruptcy,1,2,active,ARFF,25.0,2.0,25.0,2.0,6.0,50.0,0.0,0.0,5.0,1.0
479,analcatdata_cyyoung9302,1,2,active,ARFF,73.0,9.0,19.0,2.0,10.0,92.0,0.0,0.0,6.0,4.0
481,biomed,1,2,active,ARFF,134.0,7.0,75.0,2.0,9.0,209.0,15.0,15.0,7.0,2.0
682,sleuth_ex2016,1,2,active,ARFF,51.0,2.0,36.0,2.0,11.0,87.0,0.0,0.0,9.0,2.0
683,sleuth_ex2015,1,2,active,ARFF,30.0,2.0,30.0,2.0,8.0,60.0,0.0,0.0,7.0,1.0
694,diggle_table_a2,1,2,active,ARFF,41.0,9.0,18.0,9.0,9.0,310.0,0.0,0.0,8.0,1.0
714,fruitfly,2,2,active,ARFF,76.0,3.0,49.0,2.0,5.0,125.0,0.0,0.0,2.0,3.0
717,rmftsa_ladata,2,2,active,ARFF,286.0,2.0,222.0,2.0,11.0,508.0,0.0,0.0,10.0,1.0
719,veteran,2,2,active,ARFF,94.0,4.0,43.0,2.0,8.0,137.0,0.0,0.0,3.0,5.0
721,pwLinear,2,2,active,ARFF,103.0,2.0,97.0,2.0,11.0,200.0,0.0,0.0,10.0,1.0
731,baskball,2,2,active,ARFF,49.0,2.0,47.0,2.0,5.0,96.0,0.0,0.0,4.0,1.0
733,machine_cpu,2,2,active,ARFF,153.0,2.0,56.0,2.0,7.0,209.0,0.0,0.0,6.0,1.0
738,pharynx,2,2,active,ARFF,121.0,6.0,74.0,2.0,11.0,195.0,2.0,2.0,1.0,10.0
739,sleep,3,2,active,ARFF,33.0,2.0,29.0,2.0,8.0,62.0,7.0,8.0,7.0,1.0
745,auto_price,2,2,active,ARFF,105.0,6.0,54.0,2.0,16.0,159.0,0.0,0.0,14.0,2.0
747,servo,1,2,active,ARFF,129.0,5.0,38.0,2.0,5.0,167.0,0.0,0.0,0.0,5.0
748,analcatdata_wildcat,2,2,active,ARFF,116.0,2.0,47.0,2.0,6.0,163.0,0.0,0.0,3.0,3.0
750,pm10,2,2,active,ARFF,254.0,2.0,246.0,2.0,8.0,500.0,0.0,0.0,7.0,1.0
753,wisconsin,2,2,active,ARFF,104.0,2.0,90.0,2.0,33.0,194.0,0.0,0.0,32.0,1.0
755,sleuth_ex1605,2,2,active,ARFF,31.0,2.0,31.0,2.0,6.0,62.0,0.0,0.0,5.0,1.0
756,autoPrice,2,2,active,ARFF,105.0,2.0,54.0,2.0,16.0,159.0,0.0,0.0,15.0,1.0
757,meta,2,2,active,ARFF,474.0,24.0,54.0,2.0,22.0,528.0,264.0,504.0,19.0,3.0
758,analcatdata_election2000,2,2,active,ARFF,49.0,2.0,18.0,2.0,15.0,67.0,0.0,0.0,14.0,1.0
759,analcatdata_olympic2000,2,2,active,ARFF,33.0,2.0,33.0,2.0,12.0,66.0,0.0,0.0,11.0,1.0
770,strikes,2,2,active,ARFF,315.0,2.0,310.0,2.0,7.0,625.0,0.0,0.0,6.0,1.0
777,sleuth_ex1714,2,2,active,ARFF,27.0,2.0,20.0,2.0,8.0,47.0,0.0,0.0,7.0,1.0
778,bodyfat,2,2,active,ARFF,128.0,2.0,124.0,2.0,15.0,252.0,0.0,0.0,14.0,1.0
780,rabe_265,2,2,active,ARFF,30.0,2.0,21.0,2.0,7.0,51.0,0.0,0.0,6.0,1.0
785,wind_correlations,2,2,active,ARFF,23.0,2.0,22.0,2.0,47.0,45.0,0.0,0.0,46.0,1.0
786,cleveland,2,2,active,ARFF,164.0,4.0,139.0,2.0,14.0,303.0,6.0,6.0,6.0,8.0
787,witmer_census_1980,2,2,active,ARFF,26.0,2.0,24.0,2.0,5.0,50.0,0.0,0.0,4.0,1.0
788,triazines,2,2,active,ARFF,109.0,2.0,77.0,2.0,61.0,186.0,0.0,0.0,60.0,1.0
796,cpu,2,2,active,ARFF,156.0,30.0,53.0,2.0,8.0,209.0,0.0,0.0,6.0,2.0
798,cholesterol,2,2,active,ARFF,166.0,4.0,137.0,2.0,14.0,303.0,6.0,6.0,6.0,8.0
800,pyrim,2,2,active,ARFF,43.0,2.0,31.0,2.0,28.0,74.0,0.0,0.0,27.0,1.0
802,pbcseq,2,2,active,ARFF,973.0,1024.0,972.0,2.0,19.0,1945.0,832.0,1133.0,12.0,7.0
804,hutsof99_logis,2,2,active,ARFF,36.0,4.0,34.0,2.0,8.0,70.0,0.0,0.0,3.0,5.0
810,pbc,3,2,active,ARFF,230.0,4.0,188.0,2.0,19.0,418.0,142.0,1239.0,10.0,9.0
815,chscase_vine1,2,2,active,ARFF,28.0,2.0,24.0,2.0,10.0,52.0,0.0,0.0,9.0,1.0
817,diggle_table_a1,2,2,active,ARFF,25.0,2.0,23.0,2.0,5.0,48.0,0.0,0.0,4.0,1.0
818,diggle_table_a2,2,2,active,ARFF,165.0,9.0,145.0,2.0,9.0,310.0,0.0,0.0,7.0,2.0
820,chatfield_4,2,2,active,ARFF,142.0,2.0,93.0,2.0,13.0,235.0,0.0,0.0,12.0,1.0
825,boston_corrected,2,2,active,ARFF,283.0,92.0,223.0,2.0,21.0,506.0,0.0,0.0,17.0,4.0
826,sensory,2,2,active,ARFF,337.0,6.0,239.0,2.0,12.0,576.0,0.0,0.0,0.0,12.0
831,autoMpg,2,2,active,ARFF,209.0,13.0,189.0,2.0,8.0,398.0,6.0,6.0,4.0,4.0
835,analcatdata_vehicle,2,2,active,ARFF,27.0,6.0,21.0,2.0,5.0,48.0,0.0,0.0,0.0,5.0
836,sleuth_case1102,2,2,active,ARFF,19.0,3.0,15.0,2.0,9.0,34.0,0.0,0.0,5.0,4.0
839,kdd_el_nino-small,2,2,active,ARFF,508.0,59.0,274.0,2.0,9.0,782.0,214.0,466.0,6.0,3.0
840,autoHorse,2,2,active,ARFF,122.0,22.0,83.0,2.0,26.0,205.0,46.0,57.0,17.0,9.0
841,stock,2,2,active,ARFF,488.0,2.0,462.0,2.0,10.0,950.0,0.0,0.0,9.0,1.0
842,analcatdata_runshoes,2,2,active,ARFF,36.0,5.0,24.0,2.0,11.0,60.0,14.0,14.0,4.0,7.0
844,breastTumor,2,2,active,ARFF,166.0,18.0,120.0,2.0,10.0,286.0,9.0,9.0,1.0,9.0
852,analcatdata_gsssexsurvey,2,2,active,ARFF,124.0,2.0,35.0,2.0,10.0,159.0,6.0,6.0,4.0,6.0
853,boston,2,2,active,ARFF,297.0,2.0,209.0,2.0,14.0,506.0,0.0,0.0,12.0,2.0
854,fishcatch,2,2,active,ARFF,95.0,7.0,63.0,2.0,8.0,158.0,87.0,87.0,5.0,3.0
857,bolts,2,2,active,ARFF,26.0,2.0,14.0,2.0,8.0,40.0,0.0,0.0,7.0,1.0
858,hungarian,2,2,active,ARFF,188.0,4.0,106.0,2.0,14.0,294.0,293.0,782.0,6.0,8.0
859,analcatdata_gviolence,2,2,active,ARFF,43.0,2.0,31.0,2.0,9.0,74.0,0.0,0.0,8.0,1.0
861,auto93,2,2,active,ARFF,58.0,31.0,35.0,2.0,23.0,93.0,11.0,14.0,16.0,7.0
862,sleuth_ex2016,2,2,active,ARFF,45.0,2.0,42.0,2.0,11.0,87.0,0.0,0.0,8.0,3.0
864,sleuth_ex2015,2,2,active,ARFF,33.0,2.0,27.0,2.0,8.0,60.0,0.0,0.0,6.0,2.0
874,rabe_131,2,2,active,ARFF,29.0,2.0,21.0,2.0,6.0,50.0,0.0,0.0,5.0,1.0
880,mu284,2,2,active,ARFF,142.0,2.0,142.0,2.0,11.0,284.0,0.0,0.0,10.0,1.0
882,pollution,2,2,active,ARFF,31.0,2.0,29.0,2.0,16.0,60.0,0.0,0.0,15.0,1.0
886,no2,2,2,active,ARFF,251.0,2.0,249.0,2.0,8.0,500.0,0.0,0.0,7.0,1.0
890,cloud,2,2,active,ARFF,76.0,2.0,32.0,2.0,8.0,108.0,0.0,0.0,6.0,2.0
891,sleuth_case1202,2,2,active,ARFF,57.0,5.0,36.0,2.0,7.0,93.0,0.0,0.0,4.0,3.0
892,sleuth_case1201,2,2,active,ARFF,26.0,2.0,24.0,2.0,7.0,50.0,0.0,0.0,6.0,1.0
893,visualizing_hamster,2,2,active,ARFF,40.0,2.0,33.0,2.0,6.0,73.0,0.0,0.0,5.0,1.0
894,rabe_148,2,2,active,ARFF,33.0,2.0,33.0,2.0,6.0,66.0,0.0,0.0,5.0,1.0
897,colleges_aaup,2,2,active,ARFF,813.0,52.0,348.0,2.0,16.0,1161.0,87.0,256.0,13.0,3.0
898,hip,2,2,active,ARFF,28.0,2.0,26.0,2.0,8.0,54.0,30.0,120.0,7.0,1.0
899,analcatdata_negotiation,2,2,active,ARFF,66.0,2.0,26.0,2.0,6.0,92.0,17.0,26.0,4.0,2.0
900,chscase_census6,2,2,active,ARFF,235.0,2.0,165.0,2.0,7.0,400.0,0.0,0.0,6.0,1.0
902,sleuth_case2002,2,2,active,ARFF,78.0,2.0,69.0,2.0,7.0,147.0,0.0,0.0,2.0,5.0
906,chscase_census5,2,2,active,ARFF,207.0,2.0,193.0,2.0,8.0,400.0,0.0,0.0,7.0,1.0
907,chscase_census4,2,2,active,ARFF,206.0,2.0,194.0,2.0,8.0,400.0,0.0,0.0,7.0,1.0
908,chscase_census3,2,2,active,ARFF,208.0,2.0,192.0,2.0,8.0,400.0,0.0,0.0,7.0,1.0
909,chscase_census2,2,2,active,ARFF,203.0,2.0,197.0,2.0,8.0,400.0,0.0,0.0,7.0,1.0
915,plasma_retinol,2,2,active,ARFF,182.0,3.0,133.0,2.0,14.0,315.0,0.0,0.0,10.0,4.0
925,visualizing_galaxy,2,2,active,ARFF,175.0,2.0,148.0,2.0,5.0,323.0,0.0,0.0,4.0,1.0
927,hutsof99_child_witness,2,2,active,ARFF,25.0,2.0,17.0,2.0,16.0,42.0,0.0,0.0,15.0,1.0
930,colleges_usnews,2,2,active,ARFF,688.0,51.0,614.0,2.0,34.0,1302.0,1144.0,7830.0,32.0,2.0
934,socmob,2,2,active,ARFF,900.0,17.0,256.0,2.0,6.0,1156.0,0.0,0.0,1.0,5.0
938,sleuth_ex1221,2,2,active,ARFF,23.0,26.0,19.0,2.0,10.0,42.0,0.0,0.0,8.0,2.0
939,chscase_whale,2,2,active,ARFF,117.0,2.0,111.0,2.0,9.0,228.0,5.0,20.0,8.0,1.0
940,water-treatment,2,2,active,ARFF,447.0,414.0,80.0,2.0,37.0,527.0,130.0,542.0,21.0,16.0
941,lowbwt,2,2,active,ARFF,99.0,6.0,90.0,2.0,10.0,189.0,0.0,0.0,2.0,8.0
944,echoMonths,2,2,active,ARFF,66.0,2.0,64.0,2.0,10.0,130.0,69.0,97.0,6.0,4.0
945,kidney,2,2,active,ARFF,40.0,4.0,36.0,2.0,7.0,76.0,0.0,0.0,3.0,4.0
947,arsenic-male-bladder,2,2,active,ARFF,535.0,43.0,24.0,2.0,5.0,559.0,0.0,0.0,3.0,2.0
949,arsenic-female-bladder,2,2,active,ARFF,479.0,43.0,80.0,2.0,5.0,559.0,0.0,0.0,3.0,2.0
950,arsenic-female-lung,2,2,active,ARFF,540.0,43.0,19.0,2.0,5.0,559.0,0.0,0.0,3.0,2.0
951,arsenic-male-lung,2,2,active,ARFF,546.0,43.0,13.0,2.0,5.0,559.0,0.0,0.0,3.0,2.0
954,spectrometer,2,2,active,ARFF,476.0,4.0,55.0,2.0,102.0,531.0,0.0,0.0,100.0,2.0
955,tae,2,2,active,ARFF,99.0,2.0,52.0,2.0,6.0,151.0,0.0,0.0,3.0,3.0
956,molecular-biology_promoters,2,2,active,ARFF,72.0,4.0,34.0,2.0,58.0,106.0,0.0,0.0,0.0,58.0
957,braziltourism,2,2,active,ARFF,318.0,7.0,94.0,2.0,9.0,412.0,49.0,96.0,4.0,5.0
960,postoperative-patient-data,2,2,active,ARFF,64.0,4.0,26.0,2.0,9.0,90.0,3.0,3.0,0.0,9.0
961,analcatdata_broadwaymult,2,2,active,ARFF,167.0,95.0,118.0,2.0,8.0,285.0,18.0,27.0,3.0,5.0
963,heart-h,2,2,active,ARFF,188.0,4.0,106.0,2.0,14.0,294.0,293.0,782.0,6.0,8.0
964,pasture,2,2,active,ARFF,24.0,4.0,12.0,2.0,23.0,36.0,0.0,0.0,21.0,2.0
965,zoo,2,2,active,ARFF,60.0,2.0,41.0,2.0,17.0,101.0,0.0,0.0,1.0,16.0
966,analcatdata_halloffame,2,2,active,ARFF,1215.0,7.0,125.0,2.0,17.0,1340.0,20.0,20.0,15.0,2.0
967,cars,2,2,active,ARFF,254.0,312.0,152.0,2.0,9.0,406.0,14.0,14.0,6.0,3.0
969,iris,3,2,active,ARFF,100.0,2.0,50.0,2.0,5.0,150.0,0.0,0.0,4.0,1.0
970,analcatdata_authorship,2,2,active,ARFF,524.0,2.0,317.0,2.0,71.0,841.0,0.0,0.0,70.0,1.0
972,squash-stored,2,2,active,ARFF,29.0,22.0,23.0,2.0,25.0,52.0,2.0,7.0,21.0,4.0
973,wine,2,2,active,ARFF,107.0,2.0,71.0,2.0,14.0,178.0,0.0,0.0,13.0,1.0
974,hayes-roth,2,2,active,ARFF,81.0,2.0,51.0,2.0,5.0,132.0,0.0,0.0,4.0,1.0
975,autos,2,2,active,ARFF,138.0,22.0,67.0,2.0,26.0,205.0,46.0,59.0,15.0,11.0
982,heart-c,2,2,active,ARFF,165.0,4.0,138.0,2.0,14.0,303.0,7.0,7.0,6.0,8.0
983,cmc,2,2,active,ARFF,844.0,4.0,629.0,2.0,10.0,1473.0,0.0,0.0,2.0,8.0
984,analcatdata_draft,2,2,active,ARFF,334.0,12.0,32.0,2.0,5.0,366.0,1.0,1.0,2.0,3.0
985,squash-unstored,2,2,active,ARFF,28.0,22.0,24.0,2.0,24.0,52.0,9.0,39.0,20.0,4.0
986,analcatdata_marketing,2,2,active,ARFF,249.0,5.0,115.0,2.0,33.0,364.0,36.0,80.0,0.0,33.0
987,collins,2,2,active,ARFF,420.0,15.0,80.0,2.0,23.0,500.0,0.0,0.0,20.0,3.0
988,fl2000,2,2,active,ARFF,41.0,2.0,26.0,2.0,16.0,67.0,0.0,0.0,14.0,2.0
989,anneal,3,2,active,ARFF,684.0,7.0,214.0,2.0,39.0,898.0,898.0,22175.0,6.0,33.0
990,eucalyptus,2,2,active,ARFF,522.0,27.0,214.0,2.0,20.0,736.0,95.0,448.0,14.0,6.0
991,car,2,2,active,ARFF,1210.0,4.0,518.0,2.0,7.0,1728.0,0.0,0.0,0.0,7.0
992,analcatdata_broadway,2,2,active,ARFF,68.0,7.0,27.0,2.0,9.0,95.0,6.0,9.0,3.0,6.0
994,vehicle,2,2,active,ARFF,628.0,2.0,218.0,2.0,19.0,846.0,0.0,0.0,18.0,1.0
996,prnn_fglass,2,2,active,ARFF,138.0,2.0,76.0,2.0,10.0,214.0,0.0,0.0,9.0,1.0
997,balance-scale,2,2,active,ARFF,337.0,2.0,288.0,2.0,5.0,625.0,0.0,0.0,4.0,1.0
998,analcatdata_bondrate,2,2,active,ARFF,33.0,10.0,24.0,2.0,11.0,57.0,1.0,1.0,4.0,7.0
999,audiology,2,2,active,ARFF,169.0,6.0,57.0,2.0,70.0,226.0,222.0,317.0,0.0,70.0
1003,primary-tumor,2,2,active,ARFF,255.0,3.0,84.0,2.0,18.0,339.0,207.0,225.0,0.0,18.0
1005,glass,2,2,active,ARFF,138.0,2.0,76.0,2.0,10.0,214.0,0.0,0.0,9.0,1.0
1006,lymph,2,2,active,ARFF,81.0,8.0,67.0,2.0,19.0,148.0,0.0,0.0,3.0,16.0
1007,bridges,5,2,active,ARFF,63.0,54.0,44.0,2.0,12.0,107.0,37.0,71.0,3.0,9.0
1008,analcatdata_reviewer,2,2,active,ARFF,216.0,3.0,163.0,2.0,8.0,379.0,367.0,1368.0,0.0,8.0
1009,white-clover,2,2,active,ARFF,38.0,7.0,25.0,2.0,32.0,63.0,0.0,0.0,27.0,5.0
1010,dermatology,2,2,active,ARFF,254.0,4.0,112.0,2.0,35.0,366.0,8.0,8.0,1.0,34.0
1011,ecoli,2,2,active,ARFF,193.0,2.0,143.0,2.0,8.0,336.0,0.0,0.0,7.0,1.0
1012,flags,2,2,active,ARFF,125.0,14.0,69.0,2.0,29.0,194.0,0.0,0.0,2.0,27.0
1014,analcatdata_dmft,2,2,active,ARFF,642.0,9.0,155.0,2.0,5.0,797.0,0.0,0.0,0.0,5.0
1016,vowel,3,2,active,ARFF,900.0,15.0,90.0,2.0,14.0,990.0,0.0,0.0,10.0,4.0
1023,soybean,2,2,active,ARFF,591.0,7.0,92.0,2.0,36.0,683.0,121.0,2337.0,0.0,36.0
1025,analcatdata_germangss,2,2,active,ARFF,310.0,5.0,90.0,2.0,6.0,400.0,0.0,0.0,0.0,6.0
1026,grub-damage,2,2,active,ARFF,106.0,21.0,49.0,2.0,9.0,155.0,0.0,0.0,2.0,7.0
1048,jEdit_4.2_4.3,1,2,active,ARFF,204.0,2.0,165.0,2.0,9.0,369.0,0.0,0.0,8.0,1.0
1049,pc4,1,2,active,ARFF,1280.0,2.0,178.0,2.0,38.0,1458.0,0.0,0.0,37.0,1.0
1050,pc3,1,2,active,ARFF,1403.0,2.0,160.0,2.0,38.0,1563.0,0.0,0.0,37.0,1.0
1054,mc2,1,2,active,ARFF,109.0,2.0,52.0,2.0,40.0,161.0,0.0,0.0,39.0,1.0
1055,cm1_req,1,2,active,ARFF,69.0,3.0,20.0,2.0,9.0,89.0,0.0,0.0,7.0,2.0
1061,ar4,1,2,active,ARFF,87.0,2.0,20.0,2.0,30.0,107.0,0.0,0.0,29.0,1.0
1063,kc2,1,2,active,ARFF,415.0,2.0,107.0,2.0,22.0,522.0,0.0,0.0,21.0,1.0
1064,ar6,1,2,active,ARFF,86.0,2.0,15.0,2.0,30.0,101.0,0.0,0.0,29.0,1.0
1065,kc3,1,2,active,ARFF,415.0,2.0,43.0,2.0,40.0,458.0,0.0,0.0,39.0,1.0
1066,kc1-binary,1,2,active,ARFF,85.0,2.0,60.0,2.0,95.0,145.0,0.0,0.0,94.0,1.0
1068,pc1,1,2,active,ARFF,1032.0,2.0,77.0,2.0,22.0,1109.0,0.0,0.0,21.0,1.0
1071,mw1,1,2,active,ARFF,372.0,2.0,31.0,2.0,38.0,403.0,0.0,0.0,37.0,1.0
1073,jEdit_4.0_4.2,1,2,active,ARFF,140.0,2.0,134.0,2.0,9.0,274.0,0.0,0.0,8.0,1.0
1075,datatrieve,1,2,active,ARFF,119.0,2.0,11.0,2.0,9.0,130.0,0.0,0.0,8.0,1.0
1100,PopularKids,1,2,active,ARFF,247.0,9.0,90.0,3.0,11.0,478.0,0.0,0.0,6.0,5.0
1115,teachingAssistant,1,2,active,ARFF,52.0,26.0,49.0,3.0,7.0,151.0,0.0,0.0,2.0,5.0
1121,badges2,1,2,active,ARFF,210.0,2.0,84.0,2.0,11.0,294.0,0.0,0.0,7.0,4.0
1167,pc1_req,1,2,active,ARFF,213.0,3.0,107.0,2.0,9.0,320.0,0.0,0.0,7.0,2.0
1412,lungcancer_GSE31210,1,29,active,ARFF,191.0,2.0,35.0,2.0,24.0,226.0,0.0,0.0,21.0,3.0
1413,MyIris,1,379,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
1441,KungChi3,1,427,active,ARFF,107.0,2.0,16.0,2.0,40.0,123.0,0.0,0.0,39.0,1.0
1442,MegaWatt1,1,427,active,ARFF,226.0,2.0,27.0,2.0,38.0,253.0,0.0,0.0,37.0,1.0
1443,PizzaCutter1,1,427,active,ARFF,609.0,2.0,52.0,2.0,38.0,661.0,0.0,0.0,37.0,1.0
1444,PizzaCutter3,1,427,active,ARFF,916.0,2.0,127.0,2.0,38.0,1043.0,0.0,0.0,37.0,1.0
1446,CostaMadre1,2,427,active,ARFF,258.0,2.0,38.0,2.0,38.0,296.0,0.0,0.0,37.0,1.0
1447,CastMetal1,1,427,active,ARFF,285.0,2.0,42.0,2.0,38.0,327.0,0.0,0.0,37.0,1.0
1448,KnuggetChase3,1,427,active,ARFF,158.0,2.0,36.0,2.0,40.0,194.0,0.0,0.0,39.0,1.0
1449,MeanWhile1,1,427,active,ARFF,226.0,2.0,27.0,2.0,38.0,253.0,0.0,0.0,37.0,1.0
1450,MindCave2,1,427,active,ARFF,81.0,2.0,44.0,2.0,40.0,125.0,0.0,0.0,39.0,1.0
1451,PieChart1,1,427,active,ARFF,644.0,2.0,61.0,2.0,38.0,705.0,0.0,0.0,37.0,1.0
1452,PieChart2,1,427,active,ARFF,729.0,2.0,16.0,2.0,37.0,745.0,0.0,0.0,36.0,1.0
1453,PieChart3,1,427,active,ARFF,943.0,2.0,134.0,2.0,38.0,1077.0,0.0,0.0,37.0,1.0
1455,acute-inflammations,1,64,active,ARFF,70.0,2.0,50.0,2.0,7.0,120.0,0.0,0.0,1.0,6.0
1462,banknote-authentication,1,64,active,ARFF,762.0,2.0,610.0,2.0,5.0,1372.0,0.0,0.0,4.0,1.0
